animal_id,group_id,complete_direct_cues,audio_only_events,pulse_events,audio_only_proportion,early_complete_direct_cues,early_audio_only_proportion,late_complete_direct_cues,late_audio_only_proportion,incomplete_animal_days
C001,G1,6,5,1,0.8333333333333334,0,,5,0.8,0
C002,G1,1,1,0,1.0,1,1.0,0,,1
C003,G1,3,3,0,1.0,0,,3,1.0,0
C004,G1,2,1,1,0.5,1,0.0,0,,0
C005,G1,0,0,0,,0,,0,,0
C006,G1,12,9,3,0.75,4,0.5,6,0.8333333333333334,0
C007,G1,4,4,0,1.0,0,,2,1.0,0
C008,G1,7,4,3,0.5714285714285714,2,0.0,3,1.0,0
C009,G1,4,2,2,0.5,0,,3,0.3333333333333333,0
C010,G1,1,1,0,1.0,0,,1,1.0,0
C011,G1,12,8,4,0.6666666666666666,1,0.0,8,0.875,0
C012,G1,0,0,0,,0,,0,,1
C013,G2,3,3,0,1.0,0,,2,1.0,0
C014,G2,5,4,1,0.8,4,0.75,0,,2
C015,G2,2,2,0,1.0,1,1.0,1,1.0,1
C016,G2,5,3,2,0.6,3,0.3333333333333333,1,1.0,1
C017,G2,12,8,4,0.6666666666666666,5,0.8,2,0.5,0
C018,G2,0,0,0,,0,,0,,0
C019,G2,10,6,4,0.6,3,0.3333333333333333,5,0.8,0
C020,G2,3,2,1,0.6666666666666666,0,,1,1.0,0
C021,G2,2,1,1,0.5,2,0.5,0,,0
C022,G2,2,0,2,0.0,2,0.0,0,,2
C023,G2,13,10,3,0.7692307692307693,5,0.4,3,1.0,0
C024,G2,3,1,2,0.3333333333333333,0,,0,,0
C025,G3,1,1,0,1.0,0,,1,1.0,1
C026,G3,3,1,2,0.3333333333333333,1,0.0,2,0.5,1
C027,G3,1,1,0,1.0,0,,0,,0
C028,G3,2,1,1,0.5,1,1.0,0,,0
C029,G3,9,8,1,0.8888888888888888,3,0.6666666666666666,4,1.0,0
C030,G3,0,0,0,,0,,0,,0
C031,G3,3,1,2,0.3333333333333333,1,1.0,0,,1
C032,G3,1,0,1,0.0,0,,0,,0
C033,G3,1,0,1,0.0,0,,1,0.0,0
C034,G3,0,0,0,,0,,0,,3
C035,G3,4,1,3,0.25,1,0.0,0,,0
C036,G3,12,9,3,0.75,4,0.5,6,0.8333333333333334,0
C037,G4,0,0,0,,0,,0,,0
C038,G4,9,5,4,0.5555555555555556,1,0.0,5,0.6,0
C039,G4,5,4,1,0.8,0,,1,1.0,0
C040,G4,3,0,3,0.0,0,,0,,0
C041,G4,2,2,0,1.0,1,1.0,1,1.0,1
C042,G4,2,0,2,0.0,1,0.0,1,0.0,1
C043,G4,3,1,2,0.3333333333333333,2,0.0,1,1.0,0
C044,G4,0,0,0,,0,,0,,0
C045,G4,8,7,1,0.875,2,0.5,5,1.0,0
C046,G4,6,4,2,0.6666666666666666,1,1.0,3,0.6666666666666666,0
C047,G4,1,0,1,0.0,1,0.0,0,,0
C048,G4,2,2,0,1.0,0,,1,1.0,0
C049,G5,1,1,0,1.0,0,,1,1.0,0
C050,G5,5,5,0,1.0,0,,1,1.0,1
C051,G5,9,6,3,0.6666666666666666,5,0.4,3,1.0,0
C052,G5,4,3,1,0.75,0,,3,1.0,0
C053,G5,12,11,1,0.9166666666666666,3,0.6666666666666666,5,1.0,1
C054,G5,6,5,1,0.8333333333333334,1,1.0,3,1.0,1
C055,G5,0,0,0,,0,,0,,0
C056,G5,1,0,1,0.0,0,,1,0.0,1
C057,G5,7,7,0,1.0,1,1.0,4,1.0,1
C058,G5,2,1,1,0.5,1,0.0,0,,0
C059,G5,5,4,1,0.8,2,0.5,1,1.0,0
C060,G5,0,0,0,,0,,0,,1
C061,G6,2,2,0,1.0,2,1.0,0,,0
C062,G6,2,0,2,0.0,1,0.0,1,0.0,1
C063,G6,2,1,1,0.5,0,,0,,0
C064,G6,3,2,1,0.6666666666666666,0,,2,0.5,0
C065,G6,3,2,1,0.6666666666666666,2,0.5,1,1.0,0
C066,G6,4,0,4,0.0,2,0.0,2,0.0,0
C067,G6,1,1,0,1.0,0,,0,,0
C068,G6,1,1,0,1.0,0,,1,1.0,1
C069,G6,12,11,1,0.9166666666666666,5,0.8,4,1.0,0
C070,G6,0,0,0,,0,,0,,0
C071,G6,13,10,3,0.7692307692307693,8,0.625,3,1.0,2
C072,G6,0,0,0,,0,,0,,0
