animal_id,group_id,complete_direct_cues,audio_only_events,pulse_events,audio_only_proportion,early_complete_direct_cues,early_audio_only_proportion,late_complete_direct_cues,late_audio_only_proportion,incomplete_animal_days,investigation_flag
C066,G6,4,0,4,0.0,2,0.0,2,0.0,0,Priority review
C035,G3,4,1,3,0.25,1,0.0,0,,0,Priority review
C009,G1,4,2,2,0.5,0,,3,0.3333333333333333,0,Priority review
C040,G4,3,0,3,0.0,0,,0,,0,Monitor
C024,G2,3,1,2,0.3333333333333333,0,,0,,0,Monitor
C026,G3,3,1,2,0.3333333333333333,1,0.0,2,0.5,1,Monitor
C031,G3,3,1,2,0.3333333333333333,1,1.0,0,,1,Monitor
C043,G4,3,1,2,0.3333333333333333,2,0.0,1,1.0,0,Monitor
C022,G2,2,0,2,0.0,2,0.0,0,,2,Limited evidence
C042,G4,2,0,2,0.0,1,0.0,1,0.0,1,Limited evidence
C062,G6,2,0,2,0.0,1,0.0,1,0.0,1,Limited evidence
C032,G3,1,0,1,0.0,0,,0,,0,Limited evidence
C033,G3,1,0,1,0.0,0,,1,0.0,0,Limited evidence
C047,G4,1,0,1,0.0,1,0.0,0,,0,Limited evidence
C056,G5,1,0,1,0.0,0,,1,0.0,1,Limited evidence
C004,G1,2,1,1,0.5,1,0.0,0,,0,Limited evidence
C021,G2,2,1,1,0.5,2,0.5,0,,0,Limited evidence
C028,G3,2,1,1,0.5,1,1.0,0,,0,Limited evidence
C058,G5,2,1,1,0.5,1,0.0,0,,0,Limited evidence
C063,G6,2,1,1,0.5,0,,0,,0,Limited evidence
C015,G2,2,2,0,1.0,1,1.0,1,1.0,1,Limited evidence
C041,G4,2,2,0,1.0,1,1.0,1,1.0,1,Limited evidence
C048,G4,2,2,0,1.0,0,,1,1.0,0,Limited evidence
C061,G6,2,2,0,1.0,2,1.0,0,,0,Limited evidence
C002,G1,1,1,0,1.0,1,1.0,0,,1,Limited evidence
C010,G1,1,1,0,1.0,0,,1,1.0,0,Limited evidence
C025,G3,1,1,0,1.0,0,,1,1.0,1,Limited evidence
C027,G3,1,1,0,1.0,0,,0,,0,Limited evidence
C049,G5,1,1,0,1.0,0,,1,1.0,0,Limited evidence
C067,G6,1,1,0,1.0,0,,0,,0,Limited evidence
C068,G6,1,1,0,1.0,0,,1,1.0,1,Limited evidence
C005,G1,0,0,0,,0,,0,,0,Limited evidence
C012,G1,0,0,0,,0,,0,,1,Limited evidence
C018,G2,0,0,0,,0,,0,,0,Limited evidence
C030,G3,0,0,0,,0,,0,,0,Limited evidence
C034,G3,0,0,0,,0,,0,,3,Limited evidence
C037,G4,0,0,0,,0,,0,,0,Limited evidence
C044,G4,0,0,0,,0,,0,,0,Limited evidence
C055,G5,0,0,0,,0,,0,,0,Limited evidence
C060,G5,0,0,0,,0,,0,,1,Limited evidence
C070,G6,0,0,0,,0,,0,,0,Limited evidence
C072,G6,0,0,0,,0,,0,,0,Limited evidence
C038,G4,9,5,4,0.5555555555555556,1,0.0,5,0.6,0,No flag
C008,G1,7,4,3,0.5714285714285714,2,0.0,3,1.0,0,No flag
C019,G2,10,6,4,0.6,3,0.3333333333333333,5,0.8,0,No flag
C016,G2,5,3,2,0.6,3,0.3333333333333333,1,1.0,1,No flag
C011,G1,12,8,4,0.6666666666666666,1,0.0,8,0.875,0,No flag
C017,G2,12,8,4,0.6666666666666666,5,0.8,2,0.5,0,No flag
C051,G5,9,6,3,0.6666666666666666,5,0.4,3,1.0,0,No flag
C046,G4,6,4,2,0.6666666666666666,1,1.0,3,0.6666666666666666,0,No flag
C020,G2,3,2,1,0.6666666666666666,0,,1,1.0,0,No flag
C064,G6,3,2,1,0.6666666666666666,0,,2,0.5,0,No flag
C065,G6,3,2,1,0.6666666666666666,2,0.5,1,1.0,0,No flag
C006,G1,12,9,3,0.75,4,0.5,6,0.8333333333333334,0,No flag
C036,G3,12,9,3,0.75,4,0.5,6,0.8333333333333334,0,No flag
C052,G5,4,3,1,0.75,0,,3,1.0,0,No flag
C023,G2,13,10,3,0.7692307692307693,5,0.4,3,1.0,0,No flag
C071,G6,13,10,3,0.7692307692307693,8,0.625,3,1.0,2,No flag
C014,G2,5,4,1,0.8,4,0.75,0,,2,No flag
C039,G4,5,4,1,0.8,0,,1,1.0,0,No flag
C059,G5,5,4,1,0.8,2,0.5,1,1.0,0,No flag
C001,G1,6,5,1,0.8333333333333334,0,,5,0.8,0,No flag
C054,G5,6,5,1,0.8333333333333334,1,1.0,3,1.0,1,No flag
C045,G4,8,7,1,0.875,2,0.5,5,1.0,0,No flag
C029,G3,9,8,1,0.8888888888888888,3,0.6666666666666666,4,1.0,0,No flag
C053,G5,12,11,1,0.9166666666666666,3,0.6666666666666666,5,1.0,1,No flag
C069,G6,12,11,1,0.9166666666666666,5,0.8,4,1.0,0,No flag
C057,G5,7,7,0,1.0,1,1.0,4,1.0,1,No flag
C050,G5,5,5,0,1.0,0,,1,1.0,1,No flag
C007,G1,4,4,0,1.0,0,,2,1.0,0,No flag
C003,G1,3,3,0,1.0,0,,3,1.0,0,No flag
C013,G2,3,3,0,1.0,0,,2,1.0,0,No flag
