animal_id,group_id
C001,G1
C002,G1
C003,G1
C004,G1
C005,G1
C006,G1
C007,G1
C008,G1
C009,G1
C010,G1
C011,G1
C012,G1
C013,G2
C014,G2
C015,G2
C016,G2
C017,G2
C018,G2
C019,G2
C020,G2
C021,G2
C022,G2
C023,G2
C024,G2
C025,G3
C026,G3
C027,G3
C028,G3
C029,G3
C030,G3
C031,G3
C032,G3
C033,G3
C034,G3
C035,G3
C036,G3
C037,G4
C038,G4
C039,G4
C040,G4
C041,G4
C042,G4
C043,G4
C044,G4
C045,G4
C046,G4
C047,G4
C048,G4
C049,G5
C050,G5
C051,G5
C052,G5
C053,G5
C054,G5
C055,G5
C056,G5
C057,G5
C058,G5
C059,G5
C060,G5
C061,G6
C062,G6
C063,G6
C064,G6
C065,G6
C066,G6
C067,G6
C068,G6
C069,G6
C070,G6
C071,G6
C072,G6
