animal_id,group_id,date,training_day,data_complete,total_interactions,direct_interactions,audio_events,pulse_events,audio_only_events,audio_only_proportion,pulse_audio_ratio,social_responses,missing_records
C001,G1,2026-09-01,1,1,0,0,0,0,0,,,0,0
C001,G1,2026-09-02,2,1,0,0,0,0,0,,,0,0
C001,G1,2026-09-03,3,1,2,1,1,0,1,1.0,0.0,1,0
C001,G1,2026-09-04,4,1,0,0,0,0,0,,,0,0
C001,G1,2026-09-05,5,1,0,0,0,0,0,,,0,0
C001,G1,2026-09-06,6,1,6,3,3,1,2,0.6666666666666666,0.3333333333333333,3,0
C001,G1,2026-09-07,7,1,4,2,2,0,2,1.0,0.0,2,0
C002,G1,2026-09-01,1,1,0,0,0,0,0,,,0,0
C002,G1,2026-09-02,2,1,3,1,1,0,1,1.0,0.0,2,0
C002,G1,2026-09-03,3,0,2,0,0,0,0,,,2,1
C002,G1,2026-09-04,4,1,0,0,0,0,0,,,0,0
C002,G1,2026-09-05,5,1,0,0,0,0,0,,,0,0
C002,G1,2026-09-06,6,1,4,0,0,0,0,,,4,0
C002,G1,2026-09-07,7,1,1,0,0,0,0,,,1,0
C003,G1,2026-09-01,1,1,0,0,0,0,0,,,0,0
C003,G1,2026-09-02,2,1,0,0,0,0,0,,,0,0
C003,G1,2026-09-03,3,1,2,0,0,0,0,,,2,0
C003,G1,2026-09-04,4,1,0,0,0,0,0,,,0,0
C003,G1,2026-09-05,5,1,0,0,0,0,0,,,0,0
C003,G1,2026-09-06,6,1,4,2,2,0,2,1.0,0.0,2,0
C003,G1,2026-09-07,7,1,4,1,1,0,1,1.0,0.0,3,0
C004,G1,2026-09-01,1,1,2,1,1,1,0,0.0,1.0,1,0
C004,G1,2026-09-02,2,1,0,0,0,0,0,,,0,0
C004,G1,2026-09-03,3,1,3,0,0,0,0,,,3,0
C004,G1,2026-09-04,4,1,1,1,1,0,1,1.0,0.0,0,0
C004,G1,2026-09-05,5,1,0,0,0,0,0,,,0,0
C004,G1,2026-09-06,6,1,3,0,0,0,0,,,3,0
C004,G1,2026-09-07,7,1,1,0,0,0,0,,,1,0
C005,G1,2026-09-01,1,1,0,0,0,0,0,,,0,0
C005,G1,2026-09-02,2,1,0,0,0,0,0,,,0,0
C005,G1,2026-09-03,3,1,1,0,0,0,0,,,1,0
C005,G1,2026-09-04,4,1,1,0,0,0,0,,,1,0
C005,G1,2026-09-05,5,1,0,0,0,0,0,,,0,0
C005,G1,2026-09-06,6,1,1,0,0,0,0,,,1,0
C005,G1,2026-09-07,7,1,2,0,0,0,0,,,2,0
C006,G1,2026-09-01,1,1,0,0,0,0,0,,,0,0
