animal_event_id,group_event_id,animal_id,group_id,date,training_day,event_time,event_type,audio_cue,pulse_delivered,audio_only,previous_direct_exposures,initiator_id,data_complete
AE00001,GE0001,C008,G1,2026-09-01,1,16:23:13,Direct,1,1,0,0,C008,1
AE00002,GE0001,C004,G1,2026-09-01,1,16:23:13,Social,0,0,,,C008,1
AE00003,GE0002,C004,G1,2026-09-01,1,10:34:41,Direct,1,1,0,0,C004,1
AE00004,GE0003,C017,G2,2026-09-01,1,06:40:57,Direct,1,0,1,0,C017,1
AE00010,GE0006,C017,G2,2026-09-01,1,14:02:58,Social,0,0,,,C016,1
AE00013,GE0007,C017,G2,2026-09-01,1,18:20:07,Social,0,0,,,C014,1
AE00021,GE0010,C017,G2,2026-09-01,1,18:50:56,Social,0,0,,,C023,1
AE00022,GE0011,C017,G2,2026-09-01,1,07:38:17,Direct,1,0,1,1,C017,1
AE00038,GE0017,C017,G2,2026-09-01,1,07:49:00,Social,0,0,,,C023,1
AE00052,GE0021,C017,G2,2026-09-01,1,10:07:39,Social,0,0,,,C021,1
AE00049,GE0020,C015,G2,2026-09-01,1,08:23:45,Direct,1,0,1,0,C015,0
AE00006,GE0004,C014,G2,2026-09-01,1,14:13:17,Direct,1,0,1,0,C014,1
AE00011,GE0007,C014,G2,2026-09-01,1,18:20:07,Direct,1,0,1,1,C014,1
AE00026,GE0012,C014,G2,2026-09-01,1,11:24:32,Social,0,0,,,C023,1
AE00028,GE0013,C014,G2,2026-09-01,1,15:36:37,Direct,1,1,0,2,C014,1
AE00045,GE0019,C014,G2,2026-09-01,1,13:42:50,Social,0,0,,,C019,1
AE00007,GE0004,C018,G2,2026-09-01,1,14:13:17,Social,0,0,,,C014,1
AE00014,GE0007,C018,G2,2026-09-01,1,18:20:07,Social,0,0,,,C014,1
AE00039,GE0017,C018,G2,2026-09-01,1,07:49:00,Social,0,0,,,C023,1
AE00008,GE0005,C022,G2,2026-09-01,1,18:40:11,Direct,1,1,0,0,C022,1
AE00015,GE0007,C022,G2,2026-09-01,1,18:20:07,Social,0,0,,,C014,1
AE00018,GE0009,C022,G2,2026-09-01,1,10:06:03,Direct,1,1,0,1,C022,1
AE00009,GE0006,C016,G2,2026-09-01,1,14:02:58,Direct,1,1,0,0,C016,1
AE00017,GE0008,C016,G2,2026-09-01,1,14:27:16,Social,0,0,,,C023,1
AE00036,GE0016,C016,G2,2026-09-01,1,08:15:13,Social,0,0,,,C019,1
AE00042,GE0018,C016,G2,2026-09-01,1,08:50:17,Social,0,0,,,C023,1
AE00046,GE0019,C016,G2,2026-09-01,1,13:42:50,Social,0,0,,,C019,1
AE00016,GE0008,C023,G2,2026-09-01,1,14:27:16,Direct,1,1,0,0,C023,1
AE00020,GE0010,C023,G2,2026-09-01,1,18:50:56,Direct,1,0,1,1,C023,1
AE00025,GE0012,C023,G2,2026-09-01,1,11:24:32,Direct,1,1,0,2,C023,1
AE00033,GE0015,C023,G2,2026-09-01,1,16:27:39,Social,0,0,,,C019,1
AE00037,GE0017,C023,G2,2026-09-01,1,07:49:00,Direct,1,1,0,3,C023,1
AE00040,GE0018,C023,G2,2026-09-01,1,08:50:17,Direct,1,0,1,4,C023,1
AE00019,GE0009,C024,G2,2026-09-01,1,10:06:03,Social,0,0,,,C022,1
AE00024,GE0011,C024,G2,2026-09-01,1,07:38:17,Social,0,0,,,C017,1
AE00027,GE0012,C024,G2,2026-09-01,1,11:24:32,Social,0,0,,,C023,1
AE00048,GE0019,C024,G2,2026-09-01,1,13:42:50,Social,0,0,,,C019,1
AE00050,GE0020,C024,G2,2026-09-01,1,08:23:45,Social,0,0,,,C015,1
AE00023,GE0011,C013,G2,2026-09-01,1,07:38:17,Social,0,0,,,C017,1
AE00031,GE0015,C013,G2,2026-09-01,1,16:27:39,Social,0,0,,,C019,1
AE00035,GE0016,C013,G2,2026-09-01,1,08:15:13,Social,0,0,,,C019,1
AE00041,GE0018,C013,G2,2026-09-01,1,08:50:17,Social,0,0,,,C023,1
AE00029,GE0014,C021,G2,2026-09-01,1,11:39:44,Direct,1,0,1,0,C021,1
AE00032,GE0015,C021,G2,2026-09-01,1,16:27:39,Social,0,0,,,C019,1
AE00043,GE0018,C021,G2,2026-09-01,1,08:50:17,Social,0,0,,,C023,1
AE00047,GE0019,C021,G2,2026-09-01,1,13:42:50,Social,0,0,,,C019,1
AE00051,GE0021,C021,G2,2026-09-01,1,10:07:39,Direct,1,1,0,1,C021,1
AE00030,GE0015,C019,G2,2026-09-01,1,16:27:39,Direct,1,1,0,0,C019,1
AE00034,GE0016,C019,G2,2026-09-01,1,08:15:13,Direct,1,1,0,1,C019,1
AE00044,GE0019,C019,G2,2026-09-01,1,13:42:50,Direct,1,0,1,2,C019,1
AE00053,GE0022,C036,G3,2026-09-01,1,09:03:41,Direct,1,1,0,0,C036,1
AE00054,GE0022,C025,G3,2026-09-01,1,09:03:41,Social,0,0,,,C036,0
AE00055,GE0022,C033,G3,2026-09-01,1,09:03:41,Social,0,0,,,C036,1
AE00056,GE0023,C035,G3,2026-09-01,1,15:11:00,Direct,1,1,0,0,C035,1
AE00057,GE0023,C026,G3,2026-09-01,1,15:11:00,Social,0,0,,,C035,1
AE00058,GE0024,C029,G3,2026-09-01,1,15:19:52,Direct,1,1,0,0,C029,1
AE00059,GE0025,C045,G4,2026-09-01,1,15:09:22,Direct,1,1,0,0,C045,1
AE00066,GE0028,C045,G4,2026-09-01,1,18:18:43,Direct,1,0,1,1,C045,1
AE00071,GE0031,C045,G4,2026-09-01,1,06:08:15,Social,0,0,,,C046,1
AE00073,GE0032,C045,G4,2026-09-01,1,10:36:55,Social,0,0,,,C043,1
AE00060,GE0025,C040,G4,2026-09-01,1,15:09:22,Social,0,0,,,C045,1
AE00061,GE0026,C047,G4,2026-09-01,1,09:15:04,Direct,1,1,0,0,C047,1
AE00062,GE0026,C037,G4,2026-09-01,1,09:15:04,Social,0,0,,,C047,1
AE00063,GE0026,C046,G4,2026-09-01,1,09:15:04,Social,0,0,,,C047,1
AE00069,GE0031,C046,G4,2026-09-01,1,06:08:15,Direct,1,0,1,0,C046,1
AE00064,GE0027,C043,G4,2026-09-01,1,18:57:09,Direct,1,1,0,0,C043,1
AE00072,GE0032,C043,G4,2026-09-01,1,10:36:55,Direct,1,1,0,1,C043,1
AE00065,GE0027,C041,G4,2026-09-01,1,18:57:09,Social,0,0,,,C043,1
AE00067,GE0029,C038,G4,2026-09-01,1,08:58:36,Direct,1,1,0,0,C038,1
AE00068,GE0030,C042,G4,2026-09-01,1,16:33:21,Direct,1,1,0,0,C042,1
AE00070,GE0031,C044,G4,2026-09-01,1,06:08:15,Social,0,0,,,C046,1
AE00074,GE0033,C057,G5,2026-09-01,1,17:10:26,Direct,1,1,0,0,C057,0
AE00077,GE0035,C057,G5,2026-09-01,1,13:17:39,Direct,1,0,1,1,C057,0
AE00086,GE0040,C057,G5,2026-09-01,1,15:57:55,Direct,1,0,1,3,C057,0
AE00090,GE0042,C053,G5,2026-09-01,1,08:44:52,Direct,1,1,0,0,C053,0
AE00076,GE0034,C059,G5,2026-09-01,1,15:59:55,Direct,1,0,1,0,C059,1
AE00082,GE0037,C059,G5,2026-09-01,1,18:25:08,Social,0,0,,,C054,1
AE00085,GE0039,C059,G5,2026-09-01,1,14:43:20,Social,0,0,,,C051,1
AE00089,GE0041,C059,G5,2026-09-01,1,16:35:24,Social,0,0,,,C051,1
AE00079,GE0036,C060,G5,2026-09-01,1,11:32:49,Social,0,0,,,C057,1
AE00080,GE0037,C054,G5,2026-09-01,1,18:25:08,Direct,1,0,1,0,C054,1
AE00081,GE0037,C049,G5,2026-09-01,1,18:25:08,Social,0,0,,,C054,1
AE00091,GE0042,C049,G5,2026-09-01,1,08:44:52,Social,0,0,,,C053,1
AE00083,GE0038,C051,G5,2026-09-01,1,18:58:59,Direct,1,1,0,0,C051,1
AE00084,GE0039,C051,G5,2026-09-01,1,14:43:20,Direct,1,0,1,1,C051,1
AE00087,GE0041,C051,G5,2026-09-01,1,16:35:24,Direct,1,1,0,2,C051,1
AE00092,GE0042,C056,G5,2026-09-01,1,08:44:52,Social,0,0,,,C053,1
AE00093,GE0043,C071,G6,2026-09-01,1,09:29:29,Direct,1,1,0,0,C071,1
AE00094,GE0044,C071,G6,2026-09-01,1,08:37:41,Direct,1,1,0,1,C071,1
AE00095,GE0045,C066,G6,2026-09-01,1,12:59:39,Direct,1,1,0,0,C066,1
AE00096,GE0045,C062,G6,2026-09-01,1,12:59:39,Social,0,0,,,C066,1
AE00097,GE0045,C063,G6,2026-09-01,1,12:59:39,Social,0,0,,,C066,1
AE00098,GE0046,C006,G1,2026-09-02,2,17:37:51,Direct,1,1,0,0,C006,1
AE00103,GE0048,C006,G1,2026-09-02,2,12:32:32,Social,0,0,,,C002,1
AE00106,GE0049,C006,G1,2026-09-02,2,06:48:14,Direct,1,1,0,1,C006,1
AE00108,GE0050,C006,G1,2026-09-02,2,16:50:07,Direct,1,0,1,2,C006,1
AE00110,GE0052,C006,G1,2026-09-02,2,18:45:37,Direct,1,0,1,3,C006,1
AE00099,GE0047,C008,G1,2026-09-02,2,08:18:27,Direct,1,1,0,1,C008,1
AE00100,GE0047,C010,G1,2026-09-02,2,08:18:27,Social,0,0,,,C008,1
AE00104,GE0048,C010,G1,2026-09-02,2,12:32:32,Social,0,0,,,C002,1
AE00101,GE0047,C012,G1,2026-09-02,2,08:18:27,Social,0,0,,,C008,1
AE00105,GE0048,C012,G1,2026-09-02,2,12:32:32,Social,0,0,,,C002,1
AE00102,GE0048,C002,G1,2026-09-02,2,12:32:32,Direct,1,0,1,0,C002,1
AE00107,GE0049,C002,G1,2026-09-02,2,06:48:14,Social,0,0,,,C006,1
AE00111,GE0052,C002,G1,2026-09-02,2,18:45:37,Social,0,0,,,C006,1
AE00109,GE0051,C011,G1,2026-09-02,2,09:53:00,Direct,1,1,0,0,C011,1
AE00112,GE0053,C017,G2,2026-09-02,2,14:27:34,Direct,1,1,0,2,C017,1
AE00115,GE0054,C017,G2,2026-09-02,2,18:18:55,Direct,1,0,1,3,C017,1
AE00118,GE0056,C017,G2,2026-09-02,2,13:41:30,Direct,1,0,1,4,C017,1
AE00113,GE0053,C016,G2,2026-09-02,2,14:27:34,Social,0,0,,,C017,1
AE00123,GE0058,C016,G2,2026-09-02,2,14:10:40,Direct,1,1,0,1,C016,1
AE00126,GE0059,C016,G2,2026-09-02,2,09:21:29,Direct,1,0,1,2,C016,1
AE00114,GE0053,C023,G2,2026-09-02,2,14:27:34,Social,0,0,,,C017,1
AE00117,GE0055,C023,G2,2026-09-02,2,06:34:29,Social,0,0,,,C014,1
AE00116,GE0055,C014,G2,2026-09-02,2,06:34:29,Direct,1,0,1,3,C014,1
AE00121,GE0057,C014,G2,2026-09-02,2,13:22:00,Social,0,0,,,C015,1
AE00119,GE0056,C018,G2,2026-09-02,2,13:41:30,Social,0,0,,,C017,1
AE00120,GE0057,C015,G2,2026-09-02,2,13:22:00,Direct,1,0,1,1,C015,1
AE00122,GE0057,C024,G2,2026-09-02,2,13:22:00,Social,0,0,,,C015,1
AE00125,GE0058,C024,G2,2026-09-02,2,14:10:40,Social,0,0,,,C016,1
AE00124,GE0058,C020,G2,2026-09-02,2,14:10:40,Social,0,0,,,C016,1
AE00127,GE0060,C036,G3,2026-09-02,2,16:35:30,Direct,1,1,0,1,C036,1
AE00136,GE0063,C036,G3,2026-09-02,2,15:50:38,Direct,1,0,1,2,C036,1
AE00140,GE0064,C036,G3,2026-09-02,2,17:31:53,Direct,1,0,1,3,C036,1
AE00128,GE0060,C032,G3,2026-09-02,2,16:35:30,Social,0,0,,,C036,1
AE00148,GE0065,C032,G3,2026-09-02,2,08:02:31,Social,0,0,,,C028,1
AE00129,GE0060,C033,G3,2026-09-02,2,16:35:30,Social,0,0,,,C036,1
AE00132,GE0061,C033,G3,2026-09-02,2,10:56:40,Social,0,0,,,C031,1
AE00130,GE0061,C031,G3,2026-09-02,2,10:56:40,Direct,1,0,1,0,C031,1
AE00139,GE0063,C031,G3,2026-09-02,2,15:50:38,Social,0,0,,,C036,1
AE00147,GE0065,C031,G3,2026-09-02,2,08:02:31,Social,0,0,,,C028,1
AE00131,GE0061,C029,G3,2026-09-02,2,10:56:40,Social,0,0,,,C031,1
AE00134,GE0062,C029,G3,2026-09-02,2,06:44:06,Direct,1,0,1,1,C029,1
AE00138,GE0063,C029,G3,2026-09-02,2,15:50:38,Social,0,0,,,C036,1
AE00141,GE0064,C029,G3,2026-09-02,2,17:31:53,Social,0,0,,,C036,1
AE00146,GE0065,C029,G3,2026-09-02,2,08:02:31,Social,0,0,,,C028,1
AE00149,GE0066,C029,G3,2026-09-02,2,11:04:51,Direct,1,0,1,2,C029,1
AE00133,GE0061,C035,G3,2026-09-02,2,10:56:40,Social,0,0,,,C031,1
AE00135,GE0062,C034,G3,2026-09-02,2,06:44:06,Social,0,0,,,C029,1
AE00143,GE0064,C034,G3,2026-09-02,2,17:31:53,Social,0,0,,,C036,1
AE00152,GE0067,C034,G3,2026-09-02,2,13:55:37,Social,0,0,,,C026,1
AE00137,GE0063,C026,G3,2026-09-02,2,15:50:38,Social,0,0,,,C036,1
AE00145,GE0065,C026,G3,2026-09-02,2,08:02:31,Social,0,0,,,C028,1
AE00151,GE0067,C026,G3,2026-09-02,2,13:55:37,Direct,1,1,0,0,C026,1
AE00142,GE0064,C030,G3,2026-09-02,2,17:31:53,Social,0,0,,,C036,1
AE00144,GE0065,C028,G3,2026-09-02,2,08:02:31,Direct,1,0,1,0,C028,1
AE00150,GE0066,C027,G3,2026-09-02,2,11:04:51,Social,0,0,,,C029,1
AE00153,GE0068,C041,G4,2026-09-02,2,18:16:27,Direct,1,0,1,0,C041,1
AE00154,GE0068,C039,G4,2026-09-02,2,18:16:27,Social,0,0,,,C041,1
AE00155,GE0069,C058,G5,2026-09-02,2,17:53:33,Direct,1,1,0,0,C058,1
AE00156,GE0069,C056,G5,2026-09-02,2,17:53:33,Social,0,0,,,C058,1
AE00161,GE0071,C056,G5,2026-09-02,2,16:24:51,Social,0,0,,,C053,1
AE00172,GE0076,C056,G5,2026-09-02,2,11:37:33,Social,0,0,,,C051,1
AE00157,GE0070,C057,G5,2026-09-02,2,13:31:15,Direct,1,0,1,4,C057,1
AE00163,GE0072,C057,G5,2026-09-02,2,09:13:40,Social,0,0,,,C051,1
AE00158,GE0070,C054,G5,2026-09-02,2,13:31:15,Social,0,0,,,C057,1
AE00159,GE0071,C053,G5,2026-09-02,2,16:24:51,Direct,1,0,1,1,C053,1
AE00164,GE0073,C053,G5,2026-09-02,2,10:55:02,Direct,1,0,1,2,C053,1
AE00165,GE0074,C053,G5,2026-09-02,2,10:32:05,Direct,1,1,0,3,C053,1
AE00160,GE0071,C049,G5,2026-09-02,2,16:24:51,Social,0,0,,,C053,1
